seqName,samplingDate
hCoV-19/mink/USA/WI/MP01N-123/2022-08-08,2022-08-08
hCoV-19/mink/USA/WI/MP01N-150/2022-08-08,2022-08-08
hCoV-19/mink/USA/WI/MP01N-151/2022-08-08,2022-08-08
hCoV-19/mink/USA/WI/MP01N-239/2022-08-08,2022-08-08
hCoV-19/mink/USA/WI/MP02N-025/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-066/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-067/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-158/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-163/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-165/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-171/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-187/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-190/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-197/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-205/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-206/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-232/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-236/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-237/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP02N-245/2022-08-21,2022-08-21
hCoV-19/mink/USA/WI/MP03N-017/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-023/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-026/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-027/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-042/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-043/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-051/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-056/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-060/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-069/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-103/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-118/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-149/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-152/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-157/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-159/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-170/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-172/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-182/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-189/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-194/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-195/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-197/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-198/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-199/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-204/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-207/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-209/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-210/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-211/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-216/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-219/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-220/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-223/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-225/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-228/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-231/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-235/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-243/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-248/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP03N-249/2022-08-28,2022-08-28
hCoV-19/mink/USA/WI/MP04N-002/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-008/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-011/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-019/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-029/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-032/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-036/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-039/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-042/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-043/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-050/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-052/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-054/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-056/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-063/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-071/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-072/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-076/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-092/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-098/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-102/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-103/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-104/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-108/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-117/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-148/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-160/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-170/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-174/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-175/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-176/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-182/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-186/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-193/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-194/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-201/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-203/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-209/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-210/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-211/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-216/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-217/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-230/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-243/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP04N-249/2022-08-31,2022-08-31
hCoV-19/mink/USA/WI/MP05N-028/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-040/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-045/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-047/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-050/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-053/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-065/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-072/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-085/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-086/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-087/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-093/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-094/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-095/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-096/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-097/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-098/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-099/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-101/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-105/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-107/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-108/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-109/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-111/2022-09-07,2022-09-07
hCoV-19/mink/USA/WI/MP05N-113/2022-09-07,2022-09-07
