seqName,samplingDate,days_since_tmrca,PC1,PC2,PC3,PC4,PC5,PC6,PC7,displacement_2pc,displacement_npc
hCoV-19/mink/USA/WI/MP01N-123/2022-08-08,2022-08-08,71,-1.8883484727487065,-0.42046195097519834,-0.49799092994444843,-0.2975794945832381,-0.3598008541399143,-0.23879009784223787,-0.8692197301662721,2.845827316927007,3.1100572307609187
hCoV-19/mink/USA/WI/MP01N-150/2022-08-08,2022-08-08,71,-0.41381016466454534,-1.5131474760892412,0.5666284747824506,-1.2066123066742112,1.559226055674192,2.08584567257137,-1.0195098803272054,2.0203305430636256,3.7723334986368
hCoV-19/mink/USA/WI/MP01N-151/2022-08-08,2022-08-08,71,-1.1687266326280166,-1.432028781631647,0.7553220083548502,-0.29944141171832317,1.3850882876229842,2.6325688098035105,0.22915893928887637,2.5370303796732365,4.023614819219658
hCoV-19/mink/USA/WI/MP01N-239/2022-08-08,2022-08-08,71,-1.950050884228982,-0.5213096292216033,0.009215229808888614,-0.17737422362629185,0.35837971812211844,0.15441441717250698,1.0827638254211562,2.923114232080936,3.1543993564667856
hCoV-19/mink/USA/WI/MP02N-025/2022-08-21,2022-08-21,84,-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,2.0531486749713155,2.611023600496207
hCoV-19/mink/USA/WI/MP02N-066/2022-08-21,2022-08-21,84,-1.4842830295842688,-0.3258406955594248,-0.56950059161939,-0.15571010824670922,-0.4666134473353509,0.1346426984741037,-1.0546913958278366,2.4324719618415576,2.8158989768037186
hCoV-19/mink/USA/WI/MP02N-067/2022-08-21,2022-08-21,84,-1.4842830295842688,-0.3258406955594248,-0.56950059161939,-0.15571010824670922,-0.4666134473353509,0.1346426984741037,-1.0546913958278366,2.4324719618415576,2.8158989768037186
hCoV-19/mink/USA/WI/MP02N-158/2022-08-21,2022-08-21,84,-1.8655338780770143,-0.6475231956736668,0.3271113052751372,-1.5973067268456578,1.2355394037255851,-0.6978397385481738,0.026090998371575587,2.865778486081022,3.6451476916513657
hCoV-19/mink/USA/WI/MP02N-163/2022-08-21,2022-08-21,84,-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,2.1263398258749935,2.680832524111763
hCoV-19/mink/USA/WI/MP02N-165/2022-08-21,2022-08-21,84,-1.4151019383827412,-0.8833074424898061,-0.13036749190174035,-0.6031376318703544,-0.04144859632546513,-0.6123859719426356,-0.6433620908405133,2.50213282788781,2.7707721523477358
hCoV-19/mink/USA/WI/MP02N-171/2022-08-21,2022-08-21,84,-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,2.1263398258749935,2.680832524111763
hCoV-19/mink/USA/WI/MP02N-187/2022-08-21,2022-08-21,84,-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,2.1263398258749935,2.680832524111763
hCoV-19/mink/USA/WI/MP02N-190/2022-08-21,2022-08-21,84,-1.173731415600645,-0.04244036905238306,-0.6729982397906897,-1.3280743693136505,0.4759520573488854,-0.36554907405556203,-0.16512363322225837,2.100585506127259,2.763168742337001
hCoV-19/mink/USA/WI/MP02N-197/2022-08-21,2022-08-21,84,-1.399616431314684,-0.34665340634740704,-0.5879532833928196,-0.8249433445686284,-0.06338016700624668,-0.514943542387615,-0.5962042258598865,2.3515547012371623,2.7611259352846833
