Label,GISAID/GenBank accession,Country,Host,Clade,Nextclade_pango,Collection_date,WHO_Label,,,,,,,,,
hCoV-19/mink/USA/MN04N-212/2022-08-15,PQ594496,USA (this study),mink,22B,BA.5.2.1,8/15/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-189/2022-09-06,PQ594497,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-195/2022-09-06,PQ594498,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-224/2022-09-06,PQ594499,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-225/2022-09-06,PQ594500,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-226/2022-09-06,PQ594501,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-227/2022-09-06,PQ594502,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-229/2022-09-06,PQ594503,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-231/2022-09-06,PQ594504,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-237/2022-09-06,PQ594505,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN07N-239/2022-09-06,PQ594506,USA (this study),mink,22B,BF.1,9/6/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-027/2022-09-13,PQ594507,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-063/2022-09-13,PQ594508,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-091/2022-09-13,PQ594509,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
